Compound, Source, Atom Idx, C6_POSTG,C6_POSTG (Ha A^6), CGenFF Atom Type, C6_CGenFF, OPLS Atom Type, C6_OPLS, GAFF Atom Type, C6_GAFF
benzenethiol, benzenethiol_T298.15,5,23.7,0.87097974, CG2R61,0.355, opls_145,-0.115, ca,0.34
benzenethiol, benzenethiol_T298.15,6,2.5,0.0918755, HGR61,0.242, opls_146,0.115, ha,0.26
benzenethiol, benzenethiol_T298.15,7,23.5,0.8636297, CG2R61,0.355, opls_145,-0.115, ca,0.34
benzenethiol, benzenethiol_T298.15,8,2.46,0.090405492, HGR61,0.242, opls_146,0.115, ha,0.26
benzenethiol, benzenethiol_T298.15,9,23.7,0.87097974, CG2R61,0.355, opls_145,-0.115, ca,0.34
benzenethiol, benzenethiol_T298.15,10,2.6,0.09555052, HGR61,0.242, opls_146,0.115, ha,0.26
benzenethiol, benzenethiol_T298.15,11,23.1,0.84892962, CG2R61,0.355, opls_735,0.065, ca,0.34
benzenethiol, benzenethiol_T298.15,12,92.7,3.40674354, SG311,0.356, opls_734,-0.22, sh,0.356
benzenethiol, benzenethiol_T298.15,13,3.05,0.11208811, HGP3,0.0802, opls_204,0.155, hs,0.107
diethylene-glycol, diethylene-glycol_T518.95,1,12.4,0.45570248, OG311,0.314, opls_154,-0.683, oh,0.307
diethylene-glycol, diethylene-glycol_T518.95,2,2.4,0.08820048, HGP1,0.04, opls_155,0.418, ho,0
diethylene-glycol, diethylene-glycol_T518.95,3,20.9,0.76807918, CG321,0.358, opls_157,0.145, c3,0.34
diethylene-glycol, diethylene-glycol_T518.95,4,2.5,0.0918755, HGA2,0.239, opls_140,0.06, h1,0.247
diethylene-glycol, diethylene-glycol_T518.95,5,2.31,0.084892962, HGA2,0.239, opls_140,0.06, h1,0.247
diethylene-glycol, diethylene-glycol_T518.95,6,20.6,0.75705412, CG321,0.358, opls_182,0.14, c3,0.34
diethylene-glycol, diethylene-glycol_T518.95,7,2.44,0.089670488, HGA2,0.239, opls_185,0.03, h1,0.247
diethylene-glycol, diethylene-glycol_T518.95,8,2.54,0.093345508, HGA2,0.239, opls_185,0.03, h1,0.247
diethylene-glycol, diethylene-glycol_T518.95,9,10.5,0.3858771, OG301,0.294, opls_180,-0.4, os,0.3
diethylene-glycol, diethylene-glycol_T518.95,10,20.6,0.75705412, CG321,0.358, opls_182,0.14, c3,0.34
diethylene-glycol, diethylene-glycol_T518.95,11,2.54,0.093345508, HGA2,0.239, opls_185,0.03, h1,0.247
diethylene-glycol, diethylene-glycol_T518.95,12,2.44,0.089670488, HGA2,0.239, opls_185,0.03, h1,0.247
diethylene-glycol, diethylene-glycol_T518.95,13,20.9,0.76807918, CG321,0.358, opls_157,0.145, c3,0.34
diethylene-glycol, diethylene-glycol_T518.95,14,2.31,0.084892962, HGA2,0.239, opls_140,0.06, h1,0.247
diethylene-glycol, diethylene-glycol_T518.95,15,2.5,0.0918755, HGA2,0.239, opls_140,0.06, h1,0.247
diethylene-glycol, diethylene-glycol_T518.95,16,12.4,0.45570248, OG311,0.314, opls_154,-0.683, oh,0.307
diethylene-glycol, diethylene-glycol_T518.95,17,2.41,0.088567982, HGP1,0.04, opls_155,0.418, ho,0
2-methyl-2-butanol, 2-methyl-2-butanol_T320,1,21.8,0.80115436, CG331,0.365, opls_135,-0.18, c3,0.34
2-methyl-2-butanol, 2-methyl-2-butanol_T320,2,2.43,0.089302986, HGA3,0.239, opls_140,0.06, hc,0.265
2-methyl-2-butanol, 2-methyl-2-butanol_T320,3,2.48,0.091140496, HGA3,0.239, opls_140,0.06, hc,0.265
2-methyl-2-butanol, 2-methyl-2-butanol_T320,4,2.62,0.096285524, HGA3,0.239, opls_140,0.06, hc,0.265
2-methyl-2-butanol, 2-methyl-2-butanol_T320,5,20.5,0.7533791, CG321,0.358, opls_136,-0.12, c3,0.34
2-methyl-2-butanol, 2-methyl-2-butanol_T320,6,2.51,0.092243002, HGA2,0.239, opls_140,0.06, hc,0.265
2-methyl-2-butanol, 2-methyl-2-butanol_T320,7,2.46,0.090405492, HGA2,0.239, opls_140,0.06, hc,0.265
2-methyl-2-butanol, 2-methyl-2-butanol_T320,8,18.7,0.68722874, CG301,0.356, opls_159,0.265, c3,0.34
2-methyl-2-butanol, 2-methyl-2-butanol_T320,9,21.8,0.80115436, CG331,0.365, opls_135,-0.18, c3,0.34
2-methyl-2-butanol, 2-methyl-2-butanol_T320,10,2.55,0.09371301, HGA3,0.239, opls_140,0.06, hc,0.265
2-methyl-2-butanol, 2-methyl-2-butanol_T320,11,2.54,0.093345508, HGA3,0.239, opls_140,0.06, hc,0.265
2-methyl-2-butanol, 2-methyl-2-butanol_T320,12,2.46,0.090405492, HGA3,0.239, opls_140,0.06, hc,0.265
2-methyl-2-butanol, 2-methyl-2-butanol_T320,13,21.9,0.80482938, CG331,0.365, opls_135,-0.18, c3,0.34
2-methyl-2-butanol, 2-methyl-2-butanol_T320,14,2.54,0.093345508, HGA3,0.239, opls_140,0.06, hc,0.265
2-methyl-2-butanol, 2-methyl-2-butanol_T320,15,2.56,0.094080512, HGA3,0.239, opls_140,0.06, hc,0.265
2-methyl-2-butanol, 2-methyl-2-butanol_T320,16,2.48,0.091140496, HGA3,0.239, opls_140,0.06, hc,0.265
2-methyl-2-butanol, 2-methyl-2-butanol_T320,17,11.9,0.43732738, OG311,0.314, opls_154,-0.683, oh,0.307
2-methyl-2-butanol, 2-methyl-2-butanol_T320,18,2.24,0.082320448, HGP1,0.04, opls_155,0.418, ho,0
dimethyl-disulfide, dimethyl-disulfide_T298.15,1,23.3,0.85627966, CG331,0.365, opls_213,0.037, c3,0.34
dimethyl-disulfide, dimethyl-disulfide_T298.15,2,2.53,0.092978006, HGA3,0.239, opls_140,0.06, h1,0.247
dimethyl-disulfide, dimethyl-disulfide_T298.15,3,2.44,0.089670488, HGA3,0.239, opls_140,0.06, h1,0.247
dimethyl-disulfide, dimethyl-disulfide_T298.15,4,2.63,0.096653026, HGA3,0.239, opls_140,0.06, h1,0.247
dimethyl-disulfide, dimethyl-disulfide_T298.15,5,89.4,3.28546788, SG301,0.352, opls_203,-0.217, ss,0.356
dimethyl-disulfide, dimethyl-disulfide_T298.15,6,89.4,3.28546788, SG301,0.352, opls_203,-0.217, ss,0.356
dimethyl-disulfide, dimethyl-disulfide_T298.15,7,23.3,0.85627966, CG331,0.365, opls_213,0.037, c3,0.34
dimethyl-disulfide, dimethyl-disulfide_T298.15,8,2.63,0.096653026, HGA3,0.239, opls_140,0.06, h1,0.247
dimethyl-disulfide, dimethyl-disulfide_T298.15,9,2.53,0.092978006, HGA3,0.239, opls_140,0.06, h1,0.247
dimethyl-disulfide, dimethyl-disulfide_T298.15,10,2.44,0.089670488, HGA3,0.239, opls_140,0.06, h1,0.247
4-methylphenol, 4-methylphenol_T313.15,1,23.7,0.87097974, CG2R61,0.355, opls_145,-0.115, ca,0.34
4-methylphenol, 4-methylphenol_T313.15,2,2.58,0.094815516, HGR61,0.242, opls_146,0.115, ha,0.26
4-methylphenol, 4-methylphenol_T313.15,3,23.3,0.85627966, CG2R61,0.355, opls_145,-0.115, ca,0.34
4-methylphenol, 4-methylphenol_T313.15,4,2.51,0.092243002, HGR61,0.242, opls_146,0.115, ha,0.26
4-methylphenol, 4-methylphenol_T313.15,5,21.6,0.79380432, CG2R61,0.355, opls_145,-0.115, ca,0.34
4-methylphenol, 4-methylphenol_T313.15,6,21.8,0.80115436, CG331,0.365, opls_148,-0.065, c3,0.34
4-methylphenol, 4-methylphenol_T313.15,7,2.44,0.089670488, HGA3,0.239, opls_140,0.06, hc,0.265
4-methylphenol, 4-methylphenol_T313.15,8,2.43,0.089302986, HGA3,0.239, opls_140,0.06, hc,0.265
4-methylphenol, 4-methylphenol_T313.15,9,2.43,0.089302986, HGA3,0.239, opls_140,0.06, hc,0.265
4-methylphenol, 4-methylphenol_T313.15,10,23.5,0.8636297, CG2R61,0.355, opls_145,-0.115, ca,0.34
4-methylphenol, 4-methylphenol_T313.15,11,2.55,0.09371301, HGR61,0.242, opls_146,0.115, ha,0.26
4-methylphenol, 4-methylphenol_T313.15,12,23.7,0.87097974, CG2R61,0.355, opls_145,-0.115, ca,0.34
4-methylphenol, 4-methylphenol_T313.15,13,2.55,0.09371301, HGR61,0.242, opls_146,0.115, ha,0.26
4-methylphenol, 4-methylphenol_T313.15,14,22.2,0.81585444, CG2R61,0.355, opls_166,0.15, ca,0.34
4-methylphenol, 4-methylphenol_T313.15,15,11.8,0.43365236, OG311,0.314, opls_167,-0.585, oh,0.307
4-methylphenol, 4-methylphenol_T313.15,16,2.08,0.076440416, HGP1,0.04, opls_168,0.435, ho,0
tetrahydrofuran, tetrahydrofuran_T298.15,1,20.6,0.75705412, CG3C52,0.36, opls_182,0.14, c3,0.34
tetrahydrofuran, tetrahydrofuran_T298.15,2,2.37,0.087097974, HGA2,0.239, opls_185,0.03, h1,0.247
tetrahydrofuran, tetrahydrofuran_T298.15,3,2.49,0.091507998, HGA2,0.239, opls_185,0.03, h1,0.247
tetrahydrofuran, tetrahydrofuran_T298.15,4,20.2,0.74235404, CG3C52,0.36, opls_136,-0.12, c3,0.34
tetrahydrofuran, tetrahydrofuran_T298.15,5,2.35,0.08636297, HGA2,0.239, opls_140,0.06, hc,0.265
tetrahydrofuran, tetrahydrofuran_T298.15,6,2.38,0.087465476, HGA2,0.239, opls_140,0.06, hc,0.265
tetrahydrofuran, tetrahydrofuran_T298.15,7,20.2,0.74235404, CG3C52,0.36, opls_136,-0.12, c3,0.34
tetrahydrofuran, tetrahydrofuran_T298.15,8,2.39,0.087832978, HGA2,0.239, opls_140,0.06, hc,0.265
tetrahydrofuran, tetrahydrofuran_T298.15,9,2.34,0.085995468, HGA2,0.239, opls_140,0.06, hc,0.265
tetrahydrofuran, tetrahydrofuran_T298.15,10,20.6,0.75705412, CG3C52,0.36, opls_182,0.14, c3,0.34
tetrahydrofuran, tetrahydrofuran_T298.15,11,2.44,0.089670488, HGA2,0.239, opls_185,0.03, h1,0.247
tetrahydrofuran, tetrahydrofuran_T298.15,12,2.4,0.08820048, HGA2,0.239, opls_185,0.03, h1,0.247
tetrahydrofuran, tetrahydrofuran_T298.15,13,11.4,0.41895228, OG3C51,0.294, opls_180,-0.4, os,0.3
furan, furan_T293.15,1,24,0.8820048, CG2R51,0.374, opls_567,-0.019, cc,0.34
furan, furan_T293.15,2,2.44,0.089670488, HGR52,0.16, opls_569,0.142, h4,0.251
furan, furan_T293.15,3,24.4,0.89670488, CG2R51,0.374, opls_568,-0.154, cd,0.34
furan, furan_T293.15,4,2.51,0.092243002, HGR51,0.242, opls_570,0.126, ha,0.26
furan, furan_T293.15,5,24.4,0.89670488, CG2R51,0.374, opls_568,-0.154, cd,0.34
furan, furan_T293.15,6,2.51,0.092243002, HGR51,0.242, opls_570,0.126, ha,0.26
furan, furan_T293.15,7,24,0.8820048, CG2R51,0.374, opls_567,-0.019, cc,0.34
furan, furan_T293.15,8,2.44,0.089670488, HGR52,0.16, opls_569,0.142, h4,0.251
furan, furan_T293.15,9,10.9,0.40057718, OG2R50,0.303, opls_566,-0.19, os,0.3
